Sentence,Entity1,E1_POS,E1_DEP,Entity2,E2_POS,E2_DEP,Relationship,Direction,predicted_relationship,predicted_rel_with_direction
36,camp,"['DT', 'NN', 'DT']",pobj,champions,"['DT', 'NNS', 'DT']",pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
37,cartridge,['NN'],nsubjpass,ink,"['NN', 'IN']",pobj,Content-Container,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
38,pod,['NN'],nsubjpass,whales,"['NNS', 'DT', 'DT']",pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
39,Roundworms,"['NNS', 'CC']",nsubjpass,parasite,['NN'],pobj,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
40,subject,"['NN', 'NN']",nsubj,implication,"['NN', 'NN']",pobj,Cause-Effect,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
41,cat,"['NN', 'DT']",nsubj,paw,"['DT', 'NN']",pobj,Component-Whole,"e2,e1",Instrument-Agency,"Instrument-Agency(e2,e1)"
42,treaty,"['NN', 'DT']",nsubj,rule,['NN'],dobj,Cause-Effect,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
43,oil,['NN'],dobj,ocean,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
44,talent,['NN'],pobj,village,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
45,coins,"['NNS', 'IN', 'IN']",nsubjpass,plastic case,"['DT', 'NN', 'NN', 'DT', 'DT']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
46,space,"['NN', 'DT']",dobj,drawer,"['DT', 'NN']",pobj,Other,Othe,Content-Container,"Content-Container(e1,e2)"
47,bottle,['NN'],appos,container,"['DT', 'NN']",pobj,Entity-Destination,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
48,News programs,"['NNP', 'NNS']",nsubj,violence,['NN'],pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
49,narrative,"['JJ', 'DT']",nsubj,interplay,"['NN', 'DT', 'IN']",dobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
50,acid,['RP'],dobj,eyes,['NNS'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
51,room,['NN'],nsubjpass,canvases,['NNS'],pobj,Other,Othe,Message-Topic,"Message-Topic(e2,e1)"
52,gulp,['NN'],nsubj,magpies,"['NNS', 'DT']",pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
53,convocation,"['DT', 'NN']",pobj,scholars,"['DT', 'NNS']",pobj,Other,Othe,Other,Other
54,murders,['NNS'],pobj,conviction,"['IN', 'NN']",pobj,Cause-Effect,"e1,e2",Content-Container,"Content-Container(e1,e2)"
55,monkeys,['NNS'],pobj,enclosure,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
56,opinions,['NNS'],dobj,blog,['NN'],pobj,Other,Othe,Other,Other
57,vibrations,"['NNS', 'IN']",nsubj,movement,['NN'],dobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
58,diamond,['NN'],compound,colliers,['NNS'],dobj,Other,Othe,Other,Other
59,door,['NN'],compound,lock,"['NN', 'NN']",attr,Component-Whole,"e2,e1",Other,Other
60,Red grape,"['JJ', 'NN']",compound,wine,['NN'],nsubj,Entity-Origin,"e2,e1",Other,Other
61,transcript,"['DT', 'NN', 'DT']",pobj,scribe,['NN'],pobj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
62,witch,['NN'],nsubj,magic,['NN'],dobj,Instrument-Agency,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
63,committee,['NN'],nsubj,organisation,"['VBZ', 'DT', 'NN']",pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
64,clock,['NN'],dobj,presentations,"['DT', 'NNS']",pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
65,family,"['NN', 'DT']",nsubj,features,"['NNS', 'DT']",dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
66,method,['NN'],nsubj,combination,"['DT', 'NN']",dobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
67,statue,['NN'],nsubj,head,['NN'],pobj,Other,Othe,Cause-Effect,"Cause-Effect(e2,e1)"
68,article,['NN'],pobj,use,['NN'],dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
69,comments,['NNS'],nsubjpass,readers,['NNS'],pobj,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
70,president,['NN'],pobj,university,['NN'],pobj,Other,Othe,Component-Whole,"Component-Whole(e2,e1)"
71,wine,"['NN', 'IN']",nsubjpass,grapes,['NNS'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
72,slide,['NN'],nsubj,crew,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
73,inspector,['NN'],nsubj,yard,['NN'],dobj,Entity-Origin,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
74,regulations,['NNS'],nsubj,force,['NN'],pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
75,questions,"['NNS', 'IN']",dobj,press,['NN'],pobj,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
76,children,['NNS'],nsubj,exile,['NN'],pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
77,father,"['PRP', 'PRP$', 'NN', 'PRP', 'PRP$', 'NN', 'PRP']",nsubj,bar,['NN'],pobj,Instrument-Agency,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
78,rebound,['NN'],dobj,net,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
79,student,['NN'],nsubj,application,['NN'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
80,bar,['NN'],nsubj,seats,['NNS'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
81,back,['NN'],nsubj,chair,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
82,fatigue,['NN'],nsubj,pain,['NN'],pobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
83,claw,"['DT', 'NN', 'DT']",dobj,hammer,"['DT', 'DT', 'NN']",pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
84,magazine,"['NN', 'IN']",nsubjpass,sport,['NN'],pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
85,cartomancers,"['NNS', 'DT']",nsubj,cards,"['DT', 'NNS']",dobj,Instrument-Agency,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
86,films,['NNS'],nsubj,mental illness,"['JJ', 'NN', 'DT']",dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
87,company,"['NN', 'DT']",nsubj,publication,"['NN', 'DT', 'IN']",pobj,Product-Producer,"e2,e1",Instrument-Agency,"Instrument-Agency(e2,e1)"
88,papaya,"['NN', 'DT']",compound,nectar,"['NN', 'DT']",pobj,Entity-Origin,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
89,volume,['NN'],nsubj,concepts,['NNS'],dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
90,defendant,['NN'],nsubjpass,custody,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
91,plant,['NN'],nsubj,vehicles,['NNS'],pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
92,cheese,['JJ'],dobj,dish,['NN'],pobj,Component-Whole,"e1,e2",Content-Container,"Content-Container(e1,e2)"
93,castle,"['NN', 'DT']",nsubj,museum,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
94,clubs,['NNS'],nsubj,ownership,['NN'],pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
95,man,"['NN', 'DT']",nsubjpass,car,"['DT', 'NN']",pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
96,section,['NN'],pobj,interpretation,['NN'],attr,Message-Topic,"e1,e2",Other,Other
97,drawer,"['NN', 'DT', 'DT']",nsubj,coffeemaker,"['IN', 'NN', 'DT', 'DT']",pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
98,tube,['NN'],nsubjpass,container,"['DT', 'NN', 'DT', 'IN', 'NN']",pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
99,views,['NNS'],dobj,television,"['IN', 'NN']",pobj,Message-Topic,"e1,e2",Other,Other
100,chapter,['NN'],nsubj,importance,['NN'],dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
101,station,"['NN', 'DT']",nsubj,device,['NN'],pobj,Component-Whole,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
102,offenders,['NNS'],dobj,officers,['NNS'],conj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
103,book,['NN'],pobj,beauty,"['NN', 'DT']",attr,Message-Topic,"e1,e2",Other,Other
104,spills,['NNS'],pobj,hurricane,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
105,studies,['NNS'],nsubjpass,adults,['NNS'],pobj,Other,Othe,Message-Topic,"Message-Topic(e2,e1)"
106,diseases,['NNS'],nsubjpass,gene mutations,"['NN', 'NNS', 'IN']",pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
107,response,"['NN', 'IN', 'IN']",nsubj,ripple,['NN'],dobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
108,tree,"['JJ', 'NN']",pobj,crown,['NN'],pobj,Component-Whole,"e2,e1",Other,Other
109,mischief,"['VBZ', 'VBZ', 'NN']",pobj,rats,"['DT', 'NNS']",pobj,Member-Collection,"e2,e1",Other,Other
110,cable network,"['NN', 'NN']",attr,science fiction TV shows,"['NN', 'NN', 'NN', 'NNS']",dobj,Other,Othe,Cause-Effect,"Cause-Effect(e2,e1)"
111,cat,"['NN', 'DT']",nsubjpass,trap,"['DT', 'NN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
112,stories,['NNS'],nsubjpass,dance,['NN'],pobj,Other,Othe,Message-Topic,"Message-Topic(e2,e1)"
113,foundry,['NN'],poss,frames,['NNS'],dobj,Product-Producer,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
114,air,['NN'],nsubjpass,smell,['NN'],pobj,Other,Othe,Instrument-Agency,"Instrument-Agency(e1,e2)"
115,joy,['NN'],dobj,laughing,['VBG'],pcomp,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
116,lines,"['NNS', 'IN']",nsubj,author,"['DT', 'NN']",pobj,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
117,receiver,['NN'],nsubj,tone,"['NN', 'TO']",dobj,Cause-Effect,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
118,squad,"['DT', 'NN']",nsubj,militants,"['DT', 'NNS', 'PRP']",pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
119,telescope,"['NN', 'NN']",pobj,lenses,['NNS'],dobj,Component-Whole,"e2,e1",Other,Other
120,pulp,['NN'],dobj,tupperware tub,"['NN', 'NN']",pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
121,Carpenters,['NNS'],nsubj,wood,['NN'],pobj,Instrument-Agency,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
122,samples,['NNS'],nsubjpass,milking,['NN'],pobj,Other,Othe,Entity-Origin,"Entity-Origin(e1,e2)"
123,blogger,"['NN', 'NN']",nsubj,conversation,"['DT', 'DT', 'DT', 'IN', 'NN', 'DT']",pobj,Other,Othe,Component-Whole,"Component-Whole(e1,e2)"
124,speech,['NN'],nsubj,idea,"['NN', 'DT']",dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
125,rice,['NN'],compound,flour,['NN'],pobj,Entity-Origin,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
126,body,['NN'],nsubj,passenger,"['NN', 'DT']",dobj,Entity-Origin,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
127,Asteroid,['NNP'],nsubj,disaster,['NN'],pobj,Other,Othe,Other,Other
128,farm,"['NN', 'DT', 'NN']",attr,acres,"['NNS', 'DT']",dobj,Component-Whole,"e2,e1",Other,Other
129,laptop,"['NN', 'DT']",nsubj,plastic bag,"['DT', 'NN', 'NN']",pobj,Content-Container,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
130,telephone,['NN'],compound,operator,"['DT', 'DT', 'NN']",dobj,Instrument-Agency,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
131,tales,['NNS'],dobj,concerns,['NNS'],dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
132,forebrain,"['NN', 'CC', 'NN']",nsubj,amphibians,"['NNS', 'NNS']",pobj,Component-Whole,"e1,e2",Other,Other
133,company,"['NN', 'DT', 'DT']",nsubj,home,['NN'],pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
134,camera,"['NN', 'DT', 'DT']",nsubjpass,leaflet box,"['DT', 'DT', 'NN', 'NN']",pobj,Content-Container,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
135,organizations,['NNS'],nsubj,resources,"['PRP$', 'NNS']",dobj,Instrument-Agency,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
136,swim bladder,"['JJ', 'NN']",nsubj,animals,['NNS'],pobj,Component-Whole,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
137,coffle,"['IN', 'NN', 'IN']",pobj,asses,"['DT', 'NNS']",pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
138,coloring,['NN'],nsubjpass,coat of arms,"['NN', 'IN', 'NNS']",pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
139,coalition,['NN'],pobj,interests,"['IN', 'IN', 'NNS']",pobj,Member-Collection,"e2,e1",Other,Other
140,electrician,"['JJ', 'NN']",nsubj,tool,['NN'],nsubj,Instrument-Agency,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
141,data,['NNS'],pobj,epochs,['FW'],pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
142,city,['NN'],dobj,rock and roll,"['NN', 'CC', 'NN']",conj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
143,parents,['NNS'],nsubj,station,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
144,police,['NN'],compound,chief,['NN'],attr,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
145,Hospitals,"['NNS', 'DT']",nsubj,apparatus,"['DT', 'NN']",dobj,Instrument-Agency,"e2,e1",Instrument-Agency,"Instrument-Agency(e2,e1)"
146,boots,['NNS'],nsubj,box,['NN'],pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
147,attractions,"['NNS', 'VB']",nsubjpass,billboards,['NNS'],pobj,Message-Topic,"e2,e1",Message-Topic,"Message-Topic(e2,e1)"
148,guy,['NN'],nsubj,car,"['DT', 'NN']",pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
149,fetus,['NN'],nsubj,insulin,['NN'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
150,design,['NN'],nsubj,wife,['NN'],pobj,Product-Producer,"e1,e2",Other,Other
151,circle,['NN'],dobj,hooligans,['NNS'],pobj,Member-Collection,"e2,e1",Other,Other
152,litter,['NN'],dobj,rabbits,"['NN', 'DT', 'NNS']",pobj,Member-Collection,"e2,e1",Other,Other
153,texts,['NNS'],nsubj,anecdotes,['NNS'],dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
154,documents,['NNS'],nsubj,strategies,"['DT', 'NNS']",pobj,Message-Topic,"e1,e2",Member-Collection,"Member-Collection(e2,e1)"
155,punchcutter,"['NN', 'NN', 'NN']",nsubj,imprint,['NN'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
156,plug,"['NN', 'NN']",pobj,battery box,"['NN', 'NN']",pobj,Other,Othe,Component-Whole,"Component-Whole(e2,e1)"
157,visit,"['NN', 'VBZ', 'VBZ']",nsubj,strategy,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
158,microbes,['NNS'],conj,sickness,['NN'],dobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
159,implications,['NNS'],nsubjpass,publication,['NN'],pobj,Message-Topic,"e2,e1",Component-Whole,"Component-Whole(e1,e2)"
160,document,['NN'],nsubj,drugs,['NNS'],pobj,Message-Topic,"e1,e2",Other,Other
161,bazooka,['NN'],nsubj,game,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
162,model,['NN'],nsubjpass,example,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
163,Researchers,['NNS'],nsubj,ingredients,['NNS'],dobj,Product-Producer,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
164,ale,"['NN', 'DT', 'DT']",nsubj,mug,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
165,motor,['NN'],nmod,canister,"['VBZ', 'DT', 'DT', 'NN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
166,corps,['NN'],pobj,cadets,['NNS'],pobj,Member-Collection,"e2,e1",Other,Other
167,wing,['NN'],pobj,aircrafts,"['NNS', 'DT']",pobj,Component-Whole,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
168,name,['NN'],conj,address,['JJ'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
169,Analysts,['NNS'],nsubj,frequency,['NN'],dobj,Instrument-Agency,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
170,man,"['NN', 'DT']",nsubj,countries,['NNS'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
171,keeper,['NN'],attr,team,['NN'],pobj,Member-Collection,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
172,high-wheelers,['NNS'],nsubjpass,push-bike,['NN'],pobj,Other,Othe,Entity-Origin,"Entity-Origin(e1,e2)"
173,line,"['NN', 'IN']",nsubj,geometry,['NN'],pobj,Other,Othe,Component-Whole,"Component-Whole(e1,e2)"
174,pollution,['NN'],nsubj,cars,"['DT', 'NNS']",pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
175,posts,['NNS'],dobj,writer,['NN'],nsubj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
176,Molten core,"['NNP', 'NN']",nsubjpass,river,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
177,lithics,['NNS'],pobj,mountain ranges,"['NN', 'VBZ', 'IN']",pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
178,analyzer,['NN'],pobj,method,['NN'],dobj,Instrument-Agency,"e2,e1",Other,Other
179,narrative,"['JJ', 'DT']",dobj,history,"['NN', 'NN']",dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
180,attributes,['NNS'],nsubjpass,children,['NNS'],pobj,Entity-Destination,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
181,pollen,"['VBN', 'NN']",compound,basket,"['DT', 'NN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
182,nurse,['JJ'],nsubj,arm,['NN'],pobj,Other,Othe,Other,Other
183,person,['NN'],pobj,content,['NN'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
184,mushroom,['NN'],nsubjpass,mass,"['DT', 'NN']",pobj,Other,Othe,Content-Container,"Content-Container(e1,e2)"
185,squad,"['DT', 'NN']",dobj,beaters,"['DT', 'NNS']",pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
186,potatoes,"['NNS', 'DT', 'DT', 'NN']",dobj,basket,"['DT', 'NN', 'DT']",pobj,Entity-Destination,"e1,e2",Content-Container,"Content-Container(e1,e2)"
187,building,['NN'],poss,engineer,['NN'],appos,Product-Producer,"e1,e2",Other,Other
188,thesis,"['NN', 'DT']",nsubjpass,book,['NN'],pobj,Message-Topic,"e2,e1",Content-Container,"Content-Container(e1,e2)"
189,crew,['NN'],ROOT,breast,['NN'],pobj,Instrument-Agency,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
190,Rain,"['NN', 'IN']",nsubj,cancellation,['NN'],dobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
191,society,['NN'],pobj,trends,['NNS'],pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
192,roundtables,['NNS'],pobj,keywords,['NNS'],pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
193,website,['JJ'],nsubj,articles,['NNS'],dobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
194,theory,['NN'],nsubjpass,science fiction,"['NN', 'NN', 'NN']",conj,Message-Topic,"e2,e1",Message-Topic,"Message-Topic(e2,e1)"
195,clustering,"['NN', 'IN']",nsubj,clusters,['NNS'],pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
196,cherry,['JJ'],compound,wine,['NN'],pobj,Entity-Origin,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
197,song,['NN'],nsubjpass,contest,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
198,dollars,['NNS'],dobj,trusts,['NNS'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
199,floppies,"['NNS', 'NNS']",pobj,factory,['NN'],pobj,Product-Producer,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
200,wall,['NN'],pobj,store,"['NN', 'TO', 'NN']",poss,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
